ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,5,20,"Council Decision concerning the request of the United Kingdom of Great Britain and Northern Ireland to take part in some of the provisions of the Schengen acquis",U,,,"32000D0365 ",2000,8397,CONS,NULL,CS,NULL,,,http://register.consilium.europa.eu/pdf/en/00/st08/st08397.en00.pdf,"AdoptionProposOrigine = Transmission Conseil = 2000-05-24 Document indiqué dans le relevé mensuel. "," "
2000,5,21,"Council Decision to combat child pornography on the Internet",V,,,32000D0375,1999,3,JAI,1999,CNS,822,,,,"Original title on monthly summary: Initiative of the Republic of Austria with a view to adopting a Council Decision to combat child pornography on the Internet",
2000,6,1,"Council Regulation amending for the fifth time Regulation (EC) No 850/98 for the conservation of fishery resources through technical measures for the protection of juveniles of marine organisms",V,,,32000R1298,1999,636,COM,1999,CNS,255,,,,,
2000,6,2,"Council Regulation laying down certain control measures in respect of vessels flying the flag of non-Contracting Parties to the Northwest Atlantic Fisheries Organisation (NAFO)",U,,,"32000R1262 ",1999,570,COM,1999,CNS,231,,,,,
2000,6,3,"Decision of the European Parliament and of the Council on the European Year of Languages 2001",V,,,32000D1934,1999,485,COM,1999,COD,208,,,,,
2000,6,4,"Council Regulation amending Annex I to Regulation(EEC) No 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff",V,,,32000R1264,2000,136,COM,NULL,CS,NULL,,,,,
2000,6,5,"Council Regulation amending Regulation (EC) No 2505/96 opening and providing for the administration of autonomous Community tariff quotas for certain agricultural and industrial products",V,,,32000R1263,2000,201,COM,NULL,CS,NULL,,,,,
2000,6,6,"Regulation of the European Parliament and of the Council on development cooperation with South Africa",V,,,32000R1726,1999,124,COM,1999,COD,70,,,,,
2000,6,7,"Regulation of the European Parliament and of the Council on substances that deplete the ozone layer",V,,,32000R2037,1998,398,COM,1998,COD,228,,,,,
2000,6,8,"Directive of the European Parliament and of the Council on the taking up, pursuit and prudential supervision of the business of electronic money institutions",U,,EL,32000L0046,1998,461-1,COM,1998,COD,252,,,,,
2000,6,9,"Council Regulation amending Regulation (EC) No 2742/1999 fixing for 2000 the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks, applicable in Community waters and, for Community vessels, in waters where limitations in catch are required",V,,,32000R1447,2000,175,COM,NULL,CS,NULL,,,,,
2000,6,10,"Council Regulation amending Regulation (EEC) No 2075/92 on the common organisation of the market in raw tobacco",V,,,"32000R1336 ",1999,704,COM,1999,CNS,283,,,,,
2000,6,11,"Council Regulation amending Regulation (EC) No 1255/96 temporarily suspending the autonomous common customs tariff duties on certain industrial and agricultural products",V,,,32000R1297,2000,238,COM,NULL,CS,NULL,,,,,
2000,6,12,"Council Regulation fixing certain sugar prices and the standard quality of beet for the 2000/2001 marketing year",V,,"SE, UK","32000R1363 ",2000,77-4,COM,2000,CNS,47,,,,,
2000,6,13,"Council Regulation fixing the derived intervention prices for white sugar, the intervention price for raw sugar, the minimum prices for A and B beet and the compensation to offset storage costs for the 2000/2001 marketing year",V,,,32000R1364,2000,77-5,COM,NULL,CS,NULL,,,,,
2000,6,14,"Council Regulation amending Regulation (EEC) No 2759/75 on the common organisation of the market in pigmeat",V,,,"32000R1365 ",2000,77-8,COM,2000,CNS,50,,,,,
2000,6,15,"Council Directive implementing the principle of equal treatment between persons irrespective of racial or ethnic origin",U,,,32000L0043,1999,566,COM,1999,CNS,253,,,,,
2000,6,16,"Council Regulation establishing a Community framework for the collection and management of the data needed to conduct the common fisheries policy",V,,,32000R1543,1999,541,COM,1999,CNS,218,,,,,
